2024-10-11 13:53:44,946 INFO    MainThread:862853 [wandb_setup.py:_flush():79] Current SDK version is 0.18.3
2024-10-11 13:53:44,947 INFO    MainThread:862853 [wandb_setup.py:_flush():79] Configure stats pid to 862853
2024-10-11 13:53:44,947 INFO    MainThread:862853 [wandb_setup.py:_flush():79] Loading settings from /home/twickler/.config/wandb/settings
2024-10-11 13:53:44,947 INFO    MainThread:862853 [wandb_setup.py:_flush():79] Loading settings from /home/twickler/ws/GEOCLASS-image/NN_Class/wandb/settings
2024-10-11 13:53:44,947 INFO    MainThread:862853 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-10-11 13:53:44,947 INFO    MainThread:862853 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-10-11 13:53:44,947 INFO    MainThread:862853 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/home/twickler/ws/GEOCLASS-image/NN_Class/train.py', 'program': '/home/twickler/ws/GEOCLASS-image/NN_Class/train.py'}
2024-10-11 13:53:44,947 INFO    MainThread:862853 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-10-11 13:53:44,948 INFO    MainThread:862853 [wandb_init.py:_log_setup():532] Logging user logs to /home/twickler/ws/GEOCLASS-image/NN_Class/wandb/run-20241011_135344-14788pw3/logs/debug.log
2024-10-11 13:53:44,948 INFO    MainThread:862853 [wandb_init.py:_log_setup():533] Logging internal logs to /home/twickler/ws/GEOCLASS-image/NN_Class/wandb/run-20241011_135344-14788pw3/logs/debug-internal.log
2024-10-11 13:53:44,948 INFO    MainThread:862853 [wandb_init.py:init():617] calling init triggers
2024-10-11 13:53:44,948 INFO    MainThread:862853 [wandb_init.py:init():624] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.02, 'architecture': 'CNN', 'dataset': 'CIFAR-100', 'epochs': 10}
2024-10-11 13:53:44,948 INFO    MainThread:862853 [wandb_init.py:init():667] starting backend
2024-10-11 13:53:44,949 INFO    MainThread:862853 [wandb_init.py:init():671] sending inform_init request
2024-10-11 13:53:44,953 INFO    MainThread:862853 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-10-11 13:53:44,953 INFO    MainThread:862853 [wandb_init.py:init():684] backend started and connected
2024-10-11 13:53:44,959 INFO    MainThread:862853 [wandb_init.py:init():779] updated telemetry
2024-10-11 13:53:44,962 INFO    MainThread:862853 [wandb_init.py:init():812] communicating run to backend with 90.0 second timeout
2024-10-11 13:53:45,111 INFO    MainThread:862853 [wandb_init.py:init():863] starting run threads in backend
2024-10-11 13:53:45,184 INFO    MainThread:862853 [wandb_run.py:_console_start():2465] atexit reg
2024-10-11 13:53:45,184 INFO    MainThread:862853 [wandb_run.py:_redirect():2313] redirect: wrap_raw
2024-10-11 13:53:45,184 INFO    MainThread:862853 [wandb_run.py:_redirect():2378] Wrapping output streams.
2024-10-11 13:53:45,184 INFO    MainThread:862853 [wandb_run.py:_redirect():2403] Redirects installed.
2024-10-11 13:53:45,185 INFO    MainThread:862853 [wandb_init.py:init():907] run started, returning control to user process
2024-10-11 13:56:34,376 INFO    MainThread:862853 [wandb_run.py:_finish():2164] finishing run silastwickler-university-of-colorado-boulder/my-awesome-project/14788pw3
2024-10-11 13:56:34,376 INFO    MainThread:862853 [wandb_run.py:_atexit_cleanup():2428] got exitcode: 0
2024-10-11 13:56:34,376 INFO    MainThread:862853 [wandb_run.py:_restore():2410] restore
2024-10-11 13:56:34,377 INFO    MainThread:862853 [wandb_run.py:_restore():2416] restore done
2024-10-11 13:56:35,806 INFO    MainThread:862853 [wandb_run.py:_footer_history_summary_info():4049] rendering history
2024-10-11 13:56:35,807 INFO    MainThread:862853 [wandb_run.py:_footer_history_summary_info():4081] rendering summary
2024-10-11 13:56:35,811 INFO    MainThread:862853 [wandb_run.py:_footer_sync_info():4008] logging synced files
